Age Category,Sex,Belt,Weight Division,Place,Name ,Academy
Master 1,Male,Blue,Rooster,1,Ben N Stream,LEGACY JIU-JITSU - TEAM ALBERTO CRANE
Master 1,Male,Blue,Rooster,2,Branden Kyle Whittington,COALITION 95
Master 1,Male,Blue,Rooster,3,Daniel Pinedo,CAMARILLO JIU JITSU
Master 1,Male,Blue,Rooster,3,Manny Juan Almodova,BIG BROTHERS
Master 1,Male,Blue,Light-Feather,1,Xiaoxi Du,ALLIANCE
Master 1,Male,Blue,Light-Feather,2,Josh Kim,GAZZE ACADEMY
Master 1,Male,Blue,Light-Feather,3,Marcos Paulo dos Santos,FAMÍLIA JIU-JITSU
Master 1,Male,Blue,Light-Feather,3,Zachary Lessman,ATOS JIU-JITSU
Master 1,Male,Blue,Feather,1,John Marsh,ATOS JJ USA
Master 1,Male,Blue,Feather,2,Michael Zagorski,CARLSON GRACIE TEAM
Master 1,Male,Blue,Feather,3,James Averion,ATOS JIU-JITSU
Master 1,Male,Blue,Feather,3,Josue Ali Lopez,GF TEAM
Master 1,Male,Blue,Light,1,Jacob Lee Erdman,ARES BJJ
Master 1,Male,Blue,Light,2,Charlie Pinto,ARES BJJ
Master 1,Male,Blue,Light,3,Jason Robert Stuedemann,BRASA CTA
Master 1,Male,Blue,Light,3,Victor Borja,TAC TEAM BJJ
Master 1,Male,Blue,Middle,1,Daniel Fernandez-Paz,BAD BOYS JJ
Master 1,Male,Blue,Middle,2,Mason Roy,RIBEIRO JIU-JITSU INTERNATIONAL
Master 1,Male,Blue,Middle,3,Bilimbek Almamatov,TEAM REDZOVIC
Master 1,Male,Blue,Middle,3,Daniel Foley,GF TEAM
Master 1,Male,Blue,Medium-Heavy,1,Brandon Gagnon,INDIANA BRAZILIAN JIU-JITSU ACADEMY
Master 1,Male,Blue,Medium-Heavy,2,Ruapounamu Jordan James Erceg,LEGACY
Master 1,Male,Blue,Medium-Heavy,3,Daniel Kennedy,WILL/MACHADO
Master 1,Male,Blue,Medium-Heavy,3,Nathan Loeffler,CLEBER JIU JITSU VISALIA
Master 1,Male,Blue,Heavy,1,John Nickolaus Miller,GRACIE BARRA JJ
Master 1,Male,Blue,Heavy,2,Travis Scott Davis,GF TEAM
Master 1,Male,Blue,Heavy,3,Jaime Paul Thornblad,CARLSON GRACIE
Master 1,Male,Blue,Heavy,3,Sherif Girgis,UFC GYM
Master 1,Male,Blue,Super-Heavy,1,Navarro Joseph Chamberlain,CRAZY 88
Master 1,Male,Blue,Super-Heavy,2,Bojan Jovanovic,TEAM SHAWN HAMMONDS
Master 1,Male,Blue,Super-Heavy,3,Darren Kriener,TAC TEAM BJJ
Master 1,Male,Blue,Super-Heavy,3,Jeremy Collins,CRAZY 88
Master 1,Male,Blue,Ultra-Heavy,1,Kion Renard Wilson,MEGA-POWERS
Master 1,Male,Blue,Ultra-Heavy,2,Stewart Benjamin Allen,901 JIU-JITSU
Master 1,Male,Blue,Ultra-Heavy,3,Ahmed Awadallah,FIGHT SPORTS
Master 1,Male,Blue,Ultra-Heavy,3,Jason Jones,R1NG BJJ
Master 1,Male,Blue,Open Class,1,Kion Renard Wilson,MEGA-POWERS
Master 1,Male,Blue,Open Class,2,Navarro Joseph Chamberlain,CRAZY 88
Master 1,Male,Blue,Open Class,3,Jeremy Collins,CRAZY 88
Master 1,Male,Blue,Open Class,3,Stewart Benjamin Allen,901 JIU-JITSU
Master 1,Female,Blue,Rooster,1,Vanessa M. Rodriguez,NOVA UNIÃO
Master 1,Female,Blue,Rooster,2,Hana Vengrinova,LEGACY
Master 1,Female,Blue,Rooster,3,Ai Jin Lee,MONARCHY MMA
Master 1,Female,Blue,Rooster,3,Angela Leite,TONY PASSOS JIU-JITSU
Master 1,Female,Blue,Light-Feather,1,Marne Chiccarelli,CHECKMAT
Master 1,Female,Blue,Light-Feather,2,Shelby Norment,CHECKMAT
Master 1,Female,Blue,Light-Feather,3,Kari Ann Williams,LEAD BJJ
Master 1,Female,Blue,Light-Feather,3,Vernadette Ortiz,RALPH GRACIE
Master 1,Female,Blue,Feather,1,Mariane Moreira Santos,HBJ
Master 1,Female,Blue,Feather,2,Amanda Rose Brundage,SYNERGY BRAZILIAN JIU JITSU
Master 1,Female,Blue,Feather,3,Nicole Katelyne Ball,TEAM LLOYD IRVIN
Master 1,Female,Blue,Feather,3,Tina Jo Robinson,CHECKMAT
Master 1,Female,Blue,Light,1,Erica Barnes,FIGHT SPORTS
Master 1,Female,Blue,Light,2,Amy Harris,"ZENITH BJJ, CANADA"
Master 1,Female,Blue,Light,3,Elaine Huang,CAIO TERRA ASSOCIATION
Master 1,Female,Blue,Light,3,Jessica Borrell,MMA MASTERS
Master 1,Female,Blue,Middle,1,Stephanie Lynn Williamson,SOUL FIGHTERS BJJ
Master 1,Female,Blue,Middle,2,Lauren Ryan,ABSOLUTE BEHRING
